"No.","Time","Source","Destination","Protocol","Length","Info"
"145","5.189380701","10.9.70.136","10.9.65.55","UDP","140","45356  >  62201 Len=96"
"146","5.189517614","10.9.65.55","10.9.70.136","ICMP","168","Destination unreachable (Port unreachable)"
"147","5.203907105","10.9.70.136","10.9.65.55","ISAKMP","626","IKE_SA_INIT MID=00 Initiator Request"
"188","5.704570369","10.9.70.136","10.9.65.55","ISAKMP","626","IKE_SA_INIT MID=00 Initiator Request"
"191","6.205247968","10.9.70.136","10.9.65.55","ISAKMP","626","IKE_SA_INIT MID=00 Initiator Request"
"192","6.209243248","10.9.65.55","10.9.70.136","ISAKMP","651","IKE_SA_INIT MID=00 Responder Response"
"193","6.226789180","10.9.70.136","10.9.65.55","ISAKMP","592","IKE_AUTH MID=01 Initiator Request (fragment 1/5)"
"194","6.226798096","10.9.70.136","10.9.65.55","ISAKMP","592","IKE_AUTH MID=01 Initiator Request (fragment 2/5)"
"195","6.226801309","10.9.70.136","10.9.65.55","ISAKMP","592","IKE_AUTH MID=01 Initiator Request (fragment 3/5)"
"196","6.226804279","10.9.70.136","10.9.65.55","ISAKMP","592","IKE_AUTH MID=01 Initiator Request (fragment 4/5)"
"197","6.226807394","10.9.70.136","10.9.65.55","ISAKMP","352","IKE_AUTH MID=01 Initiator Request (fragment 5/5)"
"198","6.260676464","10.9.65.55","10.9.70.136","ISAKMP","592","IKE_AUTH MID=01 Responder Response (fragment 1/5)"
"199","6.260676553","10.9.65.55","10.9.70.136","ISAKMP","592","IKE_AUTH MID=01 Responder Response (fragment 2/5)"
"200","6.260676594","10.9.65.55","10.9.70.136","ISAKMP","592","IKE_AUTH MID=01 Responder Response (fragment 3/5)"
"201","6.260676626","10.9.65.55","10.9.70.136","ISAKMP","592","IKE_AUTH MID=01 Responder Response (fragment 4/5)"
"202","6.260676658","10.9.65.55","10.9.70.136","ISAKMP","320","IKE_AUTH MID=01 Responder Response (fragment 5/5)"
"228","7.907985166","10.9.70.136","10.9.65.55","ESP","172","ESP (SPI=0x579bd9b0)"
"229","7.908185522","10.9.65.55","10.9.70.136","ESP","396","ESP (SPI=0x7221dcf1)"
"230","7.908185522","10.9.65.55","10.9.70.136","SCTP","308","INIT_ACK "
"231","7.908249343","10.9.70.136","10.9.65.55","ESP","364","ESP (SPI=0x579bd9b0)"
"232","7.908332119","10.9.65.55","10.9.70.136","ESP","140","ESP (SPI=0x7221dcf1)"
"233","7.908332119","10.9.65.55","10.9.70.136","SCTP","52","COOKIE_ACK "
"234","7.908467034","10.9.70.136","10.9.65.55","ESP","364","ESP (SPI=0x579bd9b0)"
"235","7.908530150","10.9.65.55","10.9.70.136","ESP","156","ESP (SPI=0x7221dcf1)"
"236","7.908530150","10.9.65.55","10.9.70.136","SCTP","64","SACK (Ack=3878673943, Arwnd=106279) "
"237","7.908823953","10.9.65.55","10.9.70.136","ESP","220","ESP (SPI=0x7221dcf1)"
"238","7.908823953","10.9.65.55","10.9.70.136","F1AP","128","F1SetupResponse"
"239","7.908845712","10.9.70.136","10.9.65.55","ESP","156","ESP (SPI=0x579bd9b0)"
"298","11.698903746","10.9.70.136","10.9.65.55","ESP","140","ESP (SPI=0x579bd9b0)"
"299","11.699102214","10.9.65.55","10.9.70.136","ESP","140","ESP (SPI=0x7221dcf1)"
"300","11.699102214","10.9.65.55","10.9.70.136","SCTP","52","SHUTDOWN_ACK "
"301","11.699166842","10.9.70.136","10.9.65.55","ESP","140","ESP (SPI=0x579bd9b0)"
"315","12.679440077","10.9.70.136","10.9.65.55","ISAKMP","140","INFORMATIONAL MID=02 Initiator Request"
"316","12.682983619","10.9.70.136","10.9.65.55","ISAKMP","140","INFORMATIONAL MID=03 Initiator Request"
"317","12.683541174","10.9.65.55","10.9.70.136","ISAKMP","140","INFORMATIONAL MID=02 Responder Response"
"318","12.683625627","10.9.65.55","10.9.70.136","ISAKMP","140","INFORMATIONAL MID=03 Responder Response"
"319","12.721638126","10.9.70.136","10.9.70.137","TCP","68","53930  >  9999 [RST, ACK] Seq=3525 Ack=10897 Win=80512 Len=0 TSval=2941381406 TSecr=699503818"
